Job_title,Company,Location,Salary,Job_description
Audit Data Analyst,Bellwether Staffing Solutions,"White Plains, NY",87500.0,"We are currently recruiting for an Audit Data Analyst in the White Plains, NY area (remote to start White Plains office when office reopens)."
Jr. Business Analyst,First Notch Technology,"Nyack, NY",55000.0,"As a Business Analyst based in Halifax you are responsible for conducting needs assessments, configuring applications, integrating third party apps, building…"
Business Analyst,Hixny,"Albany, NY",57500.0,"This detail and process-oriented position will work closely with various departments including product development, strategy and account operations to support…"
Senior Data Analyst,Labaton Sucharow,"New York, NY",80000.0,"3-6 years of related experience;The candidate must possess superior accounting skills, demonstrate a high attention to detail, be able to review and signoff on…"
Entry Level Business Analyst,Digi555,"New York, NY",64000.0,We are looking to hire Entry Level Business Analyst position.Develop and maintain strong relationships with key business owners and subject matter experts in…
Full-time job opportunity for Data Analyst with Immigration...,Jernel Technology Corporation,"New York, NY",57500.0,"Interpret data, analyze results using statistical techniques and provide ongoing reports..Develop and implement *databases, data collection systems, data…"
Jr. Business Analyst,First Notch Technology,"Nyack, NY",55000.0,"Perform and organize ongoing support for customers such as report building, data quality, new integrations, etc.Manage project scope, schedule and quality."
Data Analyst,NYC Health + Hospitals,"New York, NY",72254.5,Experience with report writing and data analysis for a minimum of 3 years.A Baccalaureate degree from an accredited college or university and three (3) years…
Entry Level Data Analyst Position,Jerneltechcorp,"New York, NY",60000.0,"We are looking for a passionate Data Analyst to turn data into information, information into insight and insight into business decisions."
Audit Data Analyst,Bellwether Staffing Solutions,"White Plains, NY",87500.0,"Develop data analytics and visualization tools, utilizing various data sources from throughout organization.The Data Analyst will assist in the deployment and…"
Business Analyst - Transformation,Oneida Nation Enterprises,"Verona, NY",60000.0,Works collaboratively with and influences teams across business units and functions; continuously engaging various levels across the organization through…
Business Analyst - Strategy Consulting,Bainbridge,"Buffalo, NY",62500.0,"Develops strategic recommendations and solutions for clients using primary and secondary data, gather research, transform data into reports by writing clear and…"
Data Reporting Analyst,NADAP,"New York, NY",62500.0,Seek out and acquire data sources and brainstorm strategies on optimizing efficiency for client services using programmatic data.
Junior Business Analyst,OneGroup Risk Management & Insurance,"Utica, NY",60000.0,Business analyst: 3 years (Preferred).Minimum of 3 years’ experience.Review and analyze system specifications and requirement documentation.
Technical Business Analyst,Value Line,"New York, NY",65000.0,"As a Technical Business Analyst, you will work directly with business users across multiple areas including Sales, Marketing, Research, Fulfillment and…"
Investigative Analyst,New York District Attorney's Office,"New York, NY",51801.0,"Analyze documentary evidence, including cell-site, call detail, financial, and social media records, to develop coherent understanding of the details of the…"
Data Analyst,New York City TAXI & LIMOUSINE COMMISSION,"New York, NY",69040.5,"We are looking for an energetic analyst who is curious about mobility, data governance, labor, and equity in New York City."
Senior Data Analyst,NYC Health + Hospitals,"New York, NY",84121.5,"The senior business analyst will be responsible for collecting patient health, demographics, and financial data from multiple data warehouses and converting…"
Data Analyst,New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",62185.5,"As TB laboratory processes and tests become more versatile, cross-functional and complex, the role of the Bureau of TB Control's Laboratory Coordinator has…"
Business Analyst,First Derivatives,"New York, NY",90253.5,"We look for individuals who are strategic, thrive in a fast-paced environment and possess a strong analytical aptitude to help solve complex business challenges…"
Data Analyst,New York City DEPARTMENT OF INVESTIGATION,"Manhattan, NY",56978.0,"Exposure to data mining tools and techniques.Education and/or experience equivalent to ""1"" or ""2"" above.Proficiency in programming languages including R, SQL,…"
Policy Analyst - Data and Technology,New York City TAXI & LIMOUSINE COMMISSION,"New York, NY",69040.5,"Education and/or experience which is equivalent to ""1"" or ""2"" above.The New York City Taxi and Limousine Commission (TLC) is the nation’s largest for-hire…"
Data Support Analyst,New York City TAXI & LIMOUSINE COMMISSION,"New York, NY",55146.0,The Prosecution Data Support unit is responsible for generating administrative violations and otherwise supporting prosecutors by providing relevant data and…
Business Analyst - Transformation,Oneida Nation Enterprises,"Verona, NY",60000.0,Summary: The Business Transformation Analyst will report to the Director of Innovation and work directly with operational clients through the Oneida Indian…
IT Business Analyst,Options Group,"New York, NY",123552.0,"Master's degree in Computer Science, Information Systems, or a related field and 3 years of experience; or Bachelor's degree in Computer Science, Information…"
IT Business Analyst,Mindsgroup Infotech LLC,"New York, NY",58500.0,"Visa Type : - Any Visa ( OPT,CPT, GC, GC-EAD, H4EAD, L2EAD, US Citizen ).Looking for fresher/ experience BA consultants for our direct client requirement."
Business Analyst - long term temporary assignment,Pentegra,"White Plains, NY",90000.0,Minimum 5 years experience in business analysis.Business analysis: 5 years (Required).We need someone who can take charge of a project and deliver results…
QA Production Data Analyst,MetroPlus Health Plan,"New York, NY",70000.0,"Three (3) to (5) five years’ experience with system design;Five (5) years of progressive, responsible experience in the field of data processing, computer…"
Policy Analyst - Data,New York City TAXI & LIMOUSINE COMMISSION,"Manhattan, NY",69040.5,"Policy research focuses on the core areas of TLC’s regulatory power—ensuring safety, accessibility, and accountability—utilizing big data including taxi and for…"
Business Analyst,Cyber Tech Group,"Brooklyn, NY",65000.0,"Keen eye for spotting data trends;Candidates can look forward to regular client contact, a role in business development and proposal writing/methodology…"
Business Analyst,Hixny,"Albany, NY",57500.0,"Implement controls to ensure data quality.Strong Excel, SQL server and data mining skills.This detail and process-oriented position will work closely with…"
Data Analyst,New York City DEPARTMENT OF CORRECTION,"Queens, NY",78803.0,"The New York City Department of Correction (DOC) is an integral part of the City’s evolving criminal justice system, participating in reform initiatives and…"
Program Data Analyst,New York City TAXI & LIMOUSINE COMMISSION,"New York, NY",58157.5,"Education and/or experience which is equivalent to ""1"" or ""2"" above.The New York City Taxi and Limousine Commission (TLC) establishes and enforces professional…"
Lead Data Insights Analyst,TapRm,"Brooklyn, NY",75000.0,Compensation will be commensurate with experience.Build and take ownership over data analyticsand business insights at TapRm.
"Data Analyst, Tuberculosis Control",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",97735.5,The Office of Surveillance and Epidemiology conducts surveillance of suspected and confirmed cases of TB; maintains the TB registry and case management system …
Management Analyst,Krishna Gems,"New York, NY",64500.0,Gather and organize information on problems or procedures.Analyze data gathered and develop solutions or alternative methods of proceeding.
Program Analyst,Research Foundation of The City University of New...,"New York, NY",75000.0,The CUNY School of Professional Studies (CUNY SPS) provides online and on campus degree and certificate programs that meet the needs of adults who are looking…
Oracle Business Analyst,Knowles Precision Devices,"Cazenovia, NY",102500.0,Process Manufacturing: 3 years (Required).Oracle AP: 3 years (Required).Oracle AR: 3 years (Required).Oracle Costing: 3 years (Required).
Business Operations Analyst,Account Heroes,"New York, NY",47080.0,Minimum 3 years as an analyst in a professional setting.Analyze data and information to identify business opportunities.
Business Intelligence Analyst,Mini-Circuits,"Brooklyn, NY",67500.0,Devise methods for identifying data patterns and trends in available information sources.Produce financial and market intelligence by querying data…
Business Analyst,Layer 7 Data Solutions,"Albany, NY",89000.0,"As a lead business analyst on projects: 7 years (Required).84 months of experience working on IT projects, as a lead business analyst, that involved the use of…"
Senior Data Analyst – Team Lead,BrandTotal,"New York, NY",100000.0,Analysis Skills: 5 years (Preferred).Strong attention to detail and excellent communication/presentation skills.Manage a global team of data analysts.
Technical Business Analyst,Value Line,"New York, NY",65000.0,The ideal candidate has a background in the processing of equities related data.You have experience documenting and analyzing a variety of systems including…
"Data Analyst, Chronic Disease Prevention",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",94688.5,3 years' experience in public health practice;We are looking for a highly motivated and productive public health professional who has experience with Chronic…
"Data Analyst, Bureau of Sexually Transmitted Infections",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",67347.0,"Applicants should have experience with data manipulation, data analysis, and production of data tables/reports."
DATA ANALYTICS SPECIALIST,New York City OFFICE OF EMERGENCY MANAGEMENT,"Brooklyn, NY",67676.5,A four-year high school diploma or its educational equivalent approved by a state’s.The Evaluation and Analytics Unit is responsible for the collection and…
Analyst | DEPARTMENT OF ENVIRONMENTAL PROTECTION,New York City OFFICE OF MANAGEMENT & BUDGET,"Manhattan, NY",58573.5,"The Mayor’s Office of Management and Budget (OMB) is the City government's chief financial agency.The Infrastructure, Transit, Culturals & Libraries Task Force…"
Full-time job opportunity for Business Analyst with Immigrat...,Jernel Technology Corporation,"New York, NY",52500.0,"Understanding and Capturing business needs, Requirement Analysis Process..*Experience with the System Development Life Cycle (SDLC) processes is highly…"
Senior Business Analyst,Consulting at McCann Health,"New York, NY",67500.0,"As a Senior Analyst, you will play an integral role in providing strategic recommendations to our life science clients by *exploring cutting-edge, novel…"
"Data Analyst, Bureau of Children, Youth and Families",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",81167.0,"The Division of Mental Hygiene within the New York City Department of Health and Mental Hygiene is responsible for policy, programs and provider oversight…"
Business Analyst,Webtop Systems Inc.,"New York, NY",77500.0,"Our clients include investors, government, quasi-government agencies, developers, owners, lenders and financing entities who rely on our technical and…"
EDI Analyst,MetroPlus Health Plan,"New York, NY",74160.0,Review electronic data received from providers/vendors to ensure presence and accuracy of critical data elements.
Data Integrity Analyst,New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",81167.0,Collaborate with program staff and IT to develop and refine data collection instruments and improve data systems and processes.
"DATA ANALYST, BUSINESS OPERATIONS",New York City DEPARTMENT OF BUSINESS SERV.,"Manhattan, NY",58762.0,"Ensure data collection protocols include the optimal data fields needed to measure outcomes, impact on businesses, and operational efficiencies of the Centers."
